Digits; Temperature(K); Φ0+ΔΦ; ΔΦ; ΔΦ/(Φ0+ΔΦ)*100% TempConverter(mode=withReferences, A=-707092.6149255642, B=3780.0, C=-0.7, u0=821.5723191985746, ε0=0.78, τa=1.0, dPhi=0.0 Φs=-1.187956209280602e-05 Φa=-5.490972035131795e-06 Φw=-5.490972035131795e-06 Φwcalib=-5.490972035131795e-06 τw=1.0)
103; 273.20; 0.0013028655; -0.0000033506; -0.2572
104; 273.20; 0.0013010524; -0.0000033506; -0.2575
105; 273.20; 0.0012992392; -0.0000033506; -0.2579
106; 273.20; 0.0012974261; -0.0000033506; -0.2583
107; 273.20; 0.0012956130; -0.0000033506; -0.2586
108; 273.20; 0.0012937998; -0.0000033506; -0.2590
109; 273.20; 0.0012919867; -0.0000033506; -0.2593
110; 273.20; 0.0012901736; -0.0000033506; -0.2597
111; 273.20; 0.0012883604; -0.0000033506; -0.2601
112; 273.20; 0.0012865473; -0.0000033506; -0.2604
113; 273.20; 0.0012847342; -0.0000033506; -0.2608
114; 273.20; 0.0012829210; -0.0000033506; -0.2612
115; 273.20; 0.0012811079; -0.0000033506; -0.2615
116; 273.20; 0.0012792948; -0.0000033506; -0.2619
117; 273.20; 0.0012774817; -0.0000033506; -0.2623
118; 273.20; 0.0012756685; -0.0000033506; -0.2627
119; 273.20; 0.0012738554; -0.0000033506; -0.2630
120; 273.20; 0.0012720423; -0.0000033506; -0.2634
121; 273.20; 0.0012702291; -0.0000033506; -0.2638
122; 273.20; 0.0012684160; -0.0000033506; -0.2642
123; 273.20; 0.0012666029; -0.0000033506; -0.2645
124; 273.20; 0.0012647897; -0.0000033506; -0.2649
125; 273.20; 0.0012629766; -0.0000033506; -0.2653
126; 273.20; 0.0012611635; -0.0000033506; -0.2657
127; 273.20; 0.0012593504; -0.0000033506; -0.2661
128; 273.20; 0.0012575372; -0.0000033506; -0.2664
129; 273.20; 0.0012557241; -0.0000033506; -0.2668
130; 273.20; 0.0012539110; -0.0000033506; -0.2672
131; 273.20; 0.0012520978; -0.0000033506; -0.2676
132; 273.20; 0.0012502847; -0.0000033506; -0.2680
133; 273.20; 0.0012484716; -0.0000033506; -0.2684
134; 273.20; 0.0012466584; -0.0000033506; -0.2688
135; 273.20; 0.0012448453; -0.0000033506; -0.2692
136; 273.20; 0.0012430322; -0.0000033506; -0.2696
137; 273.20; 0.0012412190; -0.0000033506; -0.2699
138; 273.20; 0.0012394059; -0.0000033506; -0.2703
139; 273.20; 0.0012375928; -0.0000033506; -0.2707
140; 273.20; 0.0012357797; -0.0000033506; -0.2711
141; 273.20; 0.0012339665; -0.0000033506; -0.2715
142; 273.20; 0.0012321534; -0.0000033506; -0.2719
143; 273.20; 0.0012303403; -0.0000033506; -0.2723
144; 273.20; 0.0012285271; -0.0000033506; -0.2727
145; 273.20; 0.0012267140; -0.0000033506; -0.2731
146; 273.20; 0.0012249009; -0.0000033506; -0.2735
147; 273.20; 0.0012230877; -0.0000033506; -0.2739
148; 273.20; 0.0012212746; -0.0000033506; -0.2744
149; 273.20; 0.0012194615; -0.0000033506; -0.2748
150; 273.20; 0.0012176483; -0.0000033506; -0.2752
151; 273.20; 0.0012158352; -0.0000033506; -0.2756
152; 273.20; 0.0012140221; -0.0000033506; -0.2760
153; 273.20; 0.0012122090; -0.0000033506; -0.2764
154; 273.20; 0.0012103958; -0.0000033506; -0.2768
155; 273.20; 0.0012085827; -0.0000033506; -0.2772
156; 273.20; 0.0012067696; -0.0000033506; -0.2777
157; 273.20; 0.0012049564; -0.0000033506; -0.2781
158; 273.20; 0.0012031433; -0.0000033506; -0.2785
159; 273.20; 0.0012013302; -0.0000033506; -0.2789
160; 273.20; 0.0011995170; -0.0000033506; -0.2793
161; 273.20; 0.0011977039; -0.0000033506; -0.2798
162; 273.20; 0.0011958908; -0.0000033506; -0.2802
163; 273.20; 0.0011940776; -0.0000033506; -0.2806
164; 273.20; 0.0011922645; -0.0000033506; -0.2810
165; 273.20; 0.0011904514; -0.0000033506; -0.2815
166; 273.20; 0.0011886383; -0.0000033506; -0.2819
167; 273.20; 0.0011868251; -0.0000033506; -0.2823
168; 273.20; 0.0011850120; -0.0000033506; -0.2828
169; 273.20; 0.0011831989; -0.0000033506; -0.2832
170; 273.20; 0.0011813857; -0.0000033506; -0.2836
171; 273.20; 0.0011795726; -0.0000033506; -0.2841
172; 273.20; 0.0011777595; -0.0000033506; -0.2845
173; 273.20; 0.0011759463; -0.0000033506; -0.2849
174; 273.20; 0.0011741332; -0.0000033506; -0.2854
175; 273.20; 0.0011723201; -0.0000033506; -0.2858
176; 273.20; 0.0011705069; -0.0000033506; -0.2863
